Lead_ID,Region,State,Course,Time_Slot,Pitch_Category,Pitch_Minutes,Followup_Gap,Script_Tone,Attempts,Lag,ELT,Outreach_Type,Engagement_Score,Lead_Score,High_Engagement,Conversion_Probability
L00001,South,Karnataka,Full Stack,Evening,Long,11,2 Days,Casual,1,3.6,15,Campus Ambassador,54,55,0,52
L00002,North,Punjab,Cloud,Morning,Short,2.3,2 Days,Semi-Formal,2,5,11.7,Direct,77,60,1,63
L00003,East,Jharkhand,Full Stack,Morning,Medium,5.9,Same Day,Formal,1,3.7,14.4,Direct,74,69,1,59.3
L00004,West,Goa,Data Science,Evening,Long,9.4,Same Day,Casual,1,2.4,12,Direct,59,48,0,64.4
L00005,East,Bihar,Cloud,Evening,Medium,6.1,1 Day,Formal,1,4.4,14.9,Direct,47,41,0,34.3
L00006,North,Punjab,Data Science,Evening,Medium,6.6,1 Day,Semi-Formal,1,4,11.9,Direct,62,55,0,46.3
L00007,West,Goa,Cybersecurity,Afternoon,Medium,5.6,1 Day,Semi-Formal,1,2.7,10.3,Campus Ambassador,61,52,0,63.5
L00008,South,Tamil Nadu,Cybersecurity,Afternoon,Long,9.2,3-5 Days,Semi-Formal,1,6.2,13.4,Direct,46,49,0,37.7
L00009,West,Maharashtra,Cloud,Evening,Long,9.8,Same Day,Semi-Formal,1,6,16.5,Direct,64,64,0,48.1
L00010,West,Gujarat,Cloud,Morning,Short,2,2 Days,Formal,1,11.1,13.8,Direct,38,36,0,30.9
L00011,West,Goa,AI & ML,Evening,Short,1.3,1 Day,Formal,1,5.2,17.2,Campus Ambassador,81,75,1,48.7
L00012,North,Punjab,Cloud,Afternoon,Short,2.6,Same Day,Casual,1,5,12.7,Campus Ambassador,86,66,1,50.7
L00013,South,Tamil Nadu,Cybersecurity,Evening,Short,2,Same Day,Casual,1,7.5,13.9,Campus Ambassador,85,79,1,48.8
L00014,North,Rajasthan,Full Stack,Morning,Long,10.2,2 Days,Formal,1,6.6,11.8,Direct,56,44,0,62.1
L00015,North,Delhi,AI & ML,Afternoon,Short,2.2,Same Day,Casual,1,2.6,12.9,Direct,87,72,1,60.2
L00016,West,Goa,Cybersecurity,Evening,Long,10.8,Same Day,Semi-Formal,1,3.1,13,Direct,100,84,1,61.5
L00017,South,Telangana,Cybersecurity,Morning,Long,10.7,2 Days,Formal,1,3.2,11.5,Direct,63,59,0,33.9
L00018,West,Gujarat,Data Science,Morning,Short,2.6,Same Day,Formal,1,6,17.1,Direct,71,69,1,59.8
L00019,North,Punjab,AI & ML,Morning,Long,9.3,Same Day,Semi-Formal,1,5.6,13.7,Direct,76,71,1,61.2
L00020,North,Delhi,Data Science,Morning,Medium,5.8,Same Day,Semi-Formal,1,3.1,15.8,Direct,87,67,1,72.8
L00021,South,Andhra Pradesh,Cybersecurity,Evening,Medium,6.6,Same Day,Semi-Formal,1,8.2,6.4,Direct,75,61,1,53.8
L00022,West,Goa,Data Science,Morning,Medium,5.7,Same Day,Semi-Formal,1,4.6,16.1,Campus Ambassador,98,79,1,73.4
L00023,South,Telangana,Cybersecurity,Afternoon,Medium,5.6,2 Days,Formal,1,4.9,15.7,Direct,77,60,1,42.8
L00024,North,Uttar Pradesh,Full Stack,Evening,Medium,6.6,2 Days,Casual,1,2.9,11.1,Direct,58,54,0,55.1
L00025,West,Goa,Cybersecurity,Evening,Medium,6.2,3-5 Days,Formal,1,8.3,13.7,Direct,47,48,0,54.2
L00026,South,Telangana,Cybersecurity,Morning,Medium,5.6,Same Day,Formal,1,3.2,12.5,Campus Ambassador,56,58,0,50
L00027,West,Maharashtra,Full Stack,Evening,Short,1.2,2 Days,Semi-Formal,1,8.5,11.7,Direct,88,79,1,51.5
L00028,West,Gujarat,Data Science,Morning,Short,2.6,Same Day,Casual,1,4.4,13.9,Direct,79,62,1,61.8
L00029,North,Haryana,AI & ML,Evening,Long,10.8,1 Day,Formal,1,7,7.8,Campus Ambassador,45,49,0,35.7
L00030,South,Andhra Pradesh,Full Stack,Evening,Short,2.7,Same Day,Formal,1,5.1,16.2,Direct,60,49,0,35.2
L00031,North,Delhi,Cybersecurity,Evening,Medium,5.1,1 Day,Formal,1,1.6,15.1,Direct,62,63,0,44.5
L00032,South,Andhra Pradesh,Cloud,Afternoon,Long,10.9,Same Day,Semi-Formal,1,4.6,15.6,Direct,66,57,0,72.5
L00033,North,Rajasthan,Data Science,Morning,Medium,6.2,1 Day,Semi-Formal,1,2.1,7.6,Direct,70,60,1,74.4
L00034,North,Delhi,Cloud,Afternoon,Short,2.3,1 Day,Formal,1,7.4,9.9,Direct,100,83,1,84.3
L00035,South,Tamil Nadu,Cloud,Afternoon,Short,1.6,2 Days,Semi-Formal,1,6.6,15.5,Direct,75,63,1,54.4
L00036,North,Rajasthan,Cybersecurity,Morning,Short,2.7,Same Day,Formal,1,2.3,5.4,Campus Ambassador,100,87,1,64.4
L00037,East,West Bengal,Data Science,Evening,Long,9.4,1 Day,Formal,1,7.1,16.9,Direct,46,52,0,41.1
L00038,West,Goa,Data Science,Morning,Short,1.9,1 Day,Formal,1,4.4,13.9,Direct,77,66,1,70
L00039,West,Maharashtra,Data Science,Evening,Medium,6.3,1 Day,Casual,1,3.3,14.6,Direct,72,63,1,59
L00040,South,Tamil Nadu,Cloud,Evening,Medium,6.7,Same Day,Semi-Formal,1,3.5,12.6,Campus Ambassador,84,66,1,71
L00041,North,Haryana,Full Stack,Afternoon,Medium,6.2,Same Day,Formal,1,5.7,9.2,Direct,88,78,1,67.6
L00042,South,Tamil Nadu,Full Stack,Evening,Short,1.2,2 Days,Semi-Formal,1,5.8,16.8,Campus Ambassador,81,73,1,44
L00043,North,Punjab,Cloud,Evening,Medium,7,1 Day,Casual,1,4,11.2,Campus Ambassador,80,62,1,43.1
L00044,North,Uttar Pradesh,AI & ML,Evening,Short,2.5,2 Days,Semi-Formal,1,5.8,11.3,Direct,71,55,1,58.2
L00045,East,Bihar,Data Science,Evening,Short,1.5,2 Days,Formal,1,4.5,8,Direct,59,60,0,38.4
L00046,North,Delhi,Data Science,Evening,Short,3,Same Day,Semi-Formal,1,6.5,8.5,Direct,81,69,1,58.8
L00047,West,Maharashtra,AI & ML,Morning,Medium,6.3,Same Day,Semi-Formal,2,5.3,10.5,Direct,71,58,1,39.3
L00048,South,Tamil Nadu,Cloud,Evening,Medium,6.3,Same Day,Formal,1,6,18.8,Direct,80,73,1,68.2
L00049,West,Goa,Cybersecurity,Evening,Short,2.6,Same Day,Semi-Formal,1,4.4,11.7,Direct,79,61,1,37
L00050,North,Rajasthan,AI & ML,Morning,Long,9.9,1 Day,Formal,1,3.2,12.7,Direct,51,44,0,51.1
L00051,West,Maharashtra,AI & ML,Morning,Short,1,1 Day,Semi-Formal,1,6.7,11.9,Campus Ambassador,76,63,1,35.2
L00052,West,Gujarat,Cybersecurity,Morning,Medium,6.9,Same Day,Semi-Formal,1,5.4,14.2,Direct,80,61,1,67.8
L00053,North,Delhi,Cloud,Morning,Medium,6.2,2 Days,Formal,1,8.9,14.1,Campus Ambassador,52,45,0,43
L00054,West,Maharashtra,Cloud,Evening,Medium,6.6,Same Day,Casual,1,7.8,14.4,Direct,80,61,1,42.2
L00055,North,Uttar Pradesh,Cybersecurity,Evening,Short,1.6,2 Days,Semi-Formal,1,5.7,10.1,Direct,77,74,1,58
L00056,North,Delhi,Full Stack,Afternoon,Long,10.8,2 Days,Semi-Formal,1,5,10.9,Direct,72,65,1,38.1
L00057,North,Delhi,Data Science,Evening,Long,10.2,1 Day,Semi-Formal,1,7.9,15.5,Campus Ambassador,56,50,0,50.2
L00058,North,Punjab,Cybersecurity,Afternoon,Medium,5.2,2 Days,Semi-Formal,1,5.8,10,Direct,88,79,1,67.2
L00059,North,Haryana,Cybersecurity,Evening,Medium,6,2 Days,Semi-Formal,1,8.4,10,Campus Ambassador,62,60,0,47.7
L00060,North,Punjab,Cybersecurity,Morning,Short,1.8,2 Days,Casual,1,6,20.7,Direct,63,58,0,47.9
L00061,West,Maharashtra,Data Science,Afternoon,Long,9.3,1 Day,Formal,2,3.3,9.2,Campus Ambassador,55,48,0,55.8
L00062,North,Delhi,Cloud,Afternoon,Long,9.1,1 Day,Casual,1,1.5,7.9,Direct,63,61,0,51.2
L00063,South,Tamil Nadu,Full Stack,Evening,Long,9.3,Same Day,Semi-Formal,1,1.9,10.7,Direct,73,60,1,53.4
L00064,South,Kerala,Cloud,Evening,Long,9.7,1 Day,Casual,1,8.5,11.2,Direct,55,45,0,48.2
L00065,South,Karnataka,Data Science,Afternoon,Long,10.4,2 Days,Casual,1,6.4,16.2,Direct,49,53,0,45.7
L00066,South,Tamil Nadu,Cloud,Afternoon,Medium,6.1,1 Day,Formal,1,6.2,15.7,Campus Ambassador,74,65,1,45.5
L00067,North,Rajasthan,AI & ML,Evening,Medium,6.2,1 Day,Semi-Formal,1,6,5.5,Campus Ambassador,32,34,0,40.5
L00068,South,Tamil Nadu,Data Science,Morning,Medium,6.6,1 Day,Casual,1,8.5,13.1,Direct,72,55,1,42.4
L00069,North,Rajasthan,Data Science,Morning,Long,10.3,Same Day,Casual,1,3.2,15.6,Direct,54,50,0,51.6
